,R,G,B
0,0.16520574416275066,0.24879624534973577,0.3184269211911154
1,0.8286918762295081,0.8915692895969721,0.9437924995636673
2,0.3914123955786236,0.5437527909467996,0.6574572334530648
3,0.3473751806858568,0.3408877753879826,0.3971088483080661
4,0.4040699210621937,0.32506788260496666,0.2567043742197464
5,0.0009569483439869697,0.04968936850594119,0.02567954328959427
6,0.7086758298761442,0.7558243504059053,0.7915422820992003
7,0.0890910662988338,0.26284294786740614,0.5402948456226974
8,0.20840877073761202,0.2633342503169714,0.3010419404711921
9,0.015238762534143616,0.13645930591124206,0.2837378984906418
10,0.27387974719657726,0.49543359349475335,0.7187265853560987
11,0.19707034184363126,0.1571214708465932,0.17750786653535297
12,0.16461097930135704,0.12716475357301513,0.059729315737836006
13,0.3299180620445793,0.40519320718655444,0.4350868899855149
14,0.6736177930625056,0.7328297114273015,0.6772368117284187
15,0.6601084101502808,0.7768129394151712,0.8355577753293741
16,0.5868903213840505,0.650325501033599,0.6598041963466275
17,0.15288301112805147,0.1317421543534263,0.09544902335999335
18,0.08027981469032862,0.13719385824397679,0.12411073517623594
19,0.07729188276379656,0.01100267203165251,0.05434552719493341
20,0.6317738838503985,0.5269381411913351,0.2945722784607779
21,0.8806496847877354,0.8516332345713562,0.8039929661885322
22,0.8181254827667794,0.7646042150397149,0.8110991374858139
23,0.11681248300368852,0.06416549173665737,0.005806551991804867
24,0.6482044951221463,0.6044404244244754,0.5565747230033903
25,0.06490201843172312,0.10745740932893116,0.1553733096822928
26,0.5300373294142178,0.7022760754247139,0.8057000747296117
27,0.8290877350431428,0.9055019465803721,0.8922610447684703
28,0.16627546867855242,0.151786937879922,0.14646715391817555
29,0.0010925522367060602,0.02869827200412626,0.08927434323968203
30,0.41383450461227794,0.4585110642851048,0.40854134814679266
31,0.22119935781789707,0.3708046379675769,0.5162911462434467
32,0.10410828946882732,0.1105438778404296,0.17120774643006287
33,0.44691818313485304,0.7278873714924572,0.8944353395022264
34,0.16274439597576199,0.15345610485202713,0.18903335703413054
35,0.46347981998143845,0.40675380243338194,0.4358669193974146
36,0.29310184880330503,0.39388547883245173,0.47515032938535395
37,0.6946288483472176,0.8633300115755272,0.946808319915526
38,0.16274249925292206,0.08602023366917057,0.1302798836681548
39,0.5514826215588485,0.6571886154548956,0.7159716832402296
40,0.4523941719141908,0.5007427588272252,0.5124374468153698
41,0.4366481728955992,0.5246959076408585,0.5815438892185801
42,0.10427255991063292,0.2130239095901406,0.33337799987838285
43,0.28395298038347105,0.3242707818524011,0.3253413405933828
44,0.1299607671051327,0.15918645869321063,0.16220106862521988
45,0.4068711004463147,0.38134002145392626,0.3570585148960219
46,0.11428331665984111,0.4019713336995496,0.8179081442357905
47,0.5651375893406445,0.5601197971978927,0.6319710561196344
48,0.03233396338533078,0.09152347177259111,0.13763557704086393
49,0.16403060030675531,0.19057783856935934,0.15615482049681828
